GEOID,NAME,avg_ndvi
18061,Harrison,0.759016
18071,Jackson,0.5784169491525424
18103,Miami,0.0234875
18123,Perry,0.8139309523809525
18131,Pulaski,0.022062000000000005
18179,Wells,0.014160869565217392
19029,Cass,0.017792063492063494
48175,Goliad,0.46371851851851853
48185,Grimes,0.5393766233766234
48215,Hidalgo,0.5670512987012988
48225,Houston,0.49219833333333335
48235,Irion,0.2906979381443299
48273,Kleberg,0.5483373333333333
48277,Lamar,0.09457684210526315
48317,Martin,0.08237073170731708
48351,Newton,0.44020227272727275
48361,Orange,0.451453125
48379,Rains,0.24281153846153847
48395,Robertson,0.2939611764705882
48409,San Patricio,0.41613432835820896
48423,Smith,0.22812758620689658
48443,Terrell,0.15399608695652173
48453,Travis,0.2477891304347826
48467,Van Zandt,0.19874222222222224
48471,Walker,0.5867688311688312
48477,Washington,0.49943728813559335
48481,Wharton,0.5167076923076923
48495,Winkler,0.04338390804597701
48499,Wood,0.2810076923076923
49001,Beaver,0.20220836501901143
49003,Box Elder,0.10507610921501707
49013,Duchesne,0.04744297994269341
49015,Emery,0.05580445859872612
49019,Grand,0.029249494949494952
49025,Kane,0.09020348027842229
49045,Tooele,0.10992559109874826
50027,Windsor,0.0461945945945946
21181,Nicholas,0.7983590909090911
21189,Owsley,0.8721473684210528
21195,Pike,0.6840238095238095
21235,Whitley,0.8571720930232559
21237,Wolfe,0.8412789473684211
22005,Ascension,0.2585074074074074
22011,Beauregard,0.48882434782608697
22013,Bienville,0.30537721518987343
22015,Bossier,0.37286329113924055
22025,Catahoula,0.417989552238806
22029,Concordia,0.5064492537313434
22059,LaSalle,0.5756333333333334
22063,Livingston,0.2754469696969697
22069,Natchitoches,0.39699694656488554
22073,Ouachita,0.37891694915254237
22079,Rapides,0.42714580152671755
22097,St. Landry,0.5471472527472528
22113,Vermilion,0.39869519230769235
22119,Webster,0.5282107142857143
22123,West Carroll,0.34469714285714287
23023,Sagadahoc,0.44478999999999996
23027,Waldo,0.03124805194805195
24003,Anne Arundel,0.590653488372093
24009,Calvert,0.5764
24011,Caroline,0.6434029411764706
24023,Garrett,0.5860985714285715
24025,Harford,0.42724418604651165
24027,Howard,0.45473928571428573
24043,Washington,0.3648906976744186
25001,Barnstable,0.4517351351351352
26013,Baraga,0.5108605263157895
26041,Delta,0.34752932330827063
26071,Iron,0.39774113475177303
26141,Presque Isle,0.2670922077922078
26147,St. Clair,0.05471282051282051
26163,Wayne,0.0345014705882353
27011,Big Stone,0.28242968749999997
27015,Brown,0.21976184210526317
27021,Cass,0.5588928251121076
27031,Cook,0.5681096153846154
27059,Isanti,0.4965396551724137
27069,Kittson,0.3616430656934307
27075,Lake,0.5387595652173913
27137,St. Louis,0.5661399193548388
27171,Wright,0.48528219178082194
28007,Attala,0.5039055555555555
28011,Bolivar,0.17429146341463414
28021,Claiborne,0.541196
28051,Holmes,0.5168148148148148
28101,Newton,0.5878953124999999
28149,Warren,0.4808051724137931
28151,Washington,0.34364871794871793
28163,Yazoo,0.4702034090909091
29019,Boone,0.10001558441558442
29023,Butler,0.6315636363636364
29027,Callaway,0.21169885057471263
29033,Carroll,0.004557142857142857
29041,Chariton,0.008444444444444445
29069,Dunklin,0.4346393442622951
29083,Henry,-0.012960563380281691
29113,Lincoln,0.36027538461538466
29157,Perry,0.7184632653061225
29171,Putnam,0.04386545454545455
29189,St. Louis,0.4194547169811321
29207,Stoddard,0.5127941176470588
29227,Worth,-0.0031750000000000007
30009,Carbon,0.017145147679324894
30029,Flathead,0.009125233644859813
30047,Lake,0.022766666666666664
30053,Lincoln,0.009021365638766522
30073,Pondera,0.008929591836734694
30083,Richland,0.18505285171102662
31049,Deuel,0.0007181818181818181
31091,Hooker,-0.00048690476190476196
31117,McPherson,0.0016367346938775513
33007,Coos,0.16898842592592597
33017,Strafford,0.3099809523809524
34019,Hunterdon,0.25985600000000003
34021,Mercer,0.4170111111111111
34027,Morris,0.454102
34031,Passaic,0.3441000000000001
34033,Salem,0.4120971428571429
34041,Warren,0.451585
35011,De Baca,0.011643404255319149
35029,Luna,0.14573063380281692
35033,Mora,0.013767875647668393
35045,San Juan,0.002507056798623064
36025,Delaware,0.35194207317073173
36045,Jefferson,0.1831184397163121
36051,Livingston,0.12579200000000001
36053,Madison,0.3442157142857143
36059,Nassau,0.2924888888888889
36065,Oneida,0.22664265734265734
36075,Oswego,0.02263577981651376
36077,Otsego,0.23325500000000002
36103,Suffolk,0.48037802197802193
37009,Ashe,0.735368085106383
37017,Bladen,0.5522945054945055
37023,Burke,0.6901622641509434
37027,Caldwell,0.7648733333333333
37047,Columbus,0.4876229166666666
37091,Hertford,0.5078216216216217
37095,Hyde,0.663567213114754
37105,Lee,0.5146857142857143
37115,Madison,0.7764933333333335
37121,Mitchell,0.8259250000000001
37139,Pasquotank,0.497248
37155,Robeson,0.48108265306122455
37163,Sampson,0.5224536082474227
37193,Wilkes,0.6152880000000001
37199,Yancey,0.6873969696969697
38071,Ramsey,0.23506148648648653
38079,Rolette,0.10272456140350877
38085,Sioux,0.10388091603053436
38097,Traill,0.2922515789473684
38105,Williams,0.3048483146067416
39051,Fulton,0.08221500000000001
39061,Hamilton,0.6211333333333333
39095,Lucas,0.1517186046511628
39123,Ottawa,0.07157727272727273
40011,Blaine,0.04686
40065,Jackson,0.06995555555555558
40079,Le Flore,0.033176687116564414
40089,McCurtain,0.011552197802197803
40117,Pawnee,-0.0031140350877192986
40133,Seminole,0.024507246376811592
41003,Benton,0.3754013888888889
41007,Clatsop,0.2671010752688172
41021,Gilliam,0.16247755102040817
41033,Josephine,0.4214357142857143
41035,Klamath,0.13414140508221228
41039,Lane,0.36783225190839697
41043,Linn,0.2852218518518519
41045,Malheur,0.040462633451957296
41047,Marion,0.26703
41061,Union,0.12010720338983051
42003,Allegheny,0.44765949367088614
42017,Bucks,0.23931641791044775
42041,Cumberland,0.34496333333333334
42055,Franklin,0.4208397849462366
42061,Huntingdon,0.5993583333333333
42071,Lancaster,0.30102641509433964
42095,Northampton,0.3200243902439024
42099,Perry,0.34419166666666673
42113,Sullivan,0.35189591836734696
42133,York,0.2570009803921569
44005,Newport,0.6613166666666667
45005,Allendale,0.6014900000000001
45009,Bamberg,0.5026222222222222
45029,Colleton,0.6007323232323234
45047,Greenwood,0.5057377777777777
45053,Jasper,0.5991126984126984
45077,Pickens,0.8203043478260869
45087,Union,0.8080056603773585
45091,York,0.5188191780821918
46075,Jones,-0.000938888888888889
46095,Mellette,-0.005466
46103,Pennington,-0.0001931137724550899
46111,Sanborn,0.0989557142857143
46117,Stanley,-0.0009494117647058824
47003,Bedford,0.798565306122449
47021,Cheatham,0.8523909090909091
47031,Coffee,0.7561113636363637
47041,DeKalb,0.8041344827586208
47045,Dyer,0.5796981132075473
47055,Giles,0.8099859649122808
47065,Hamilton,0.7547745098039217
47085,Humphreys,0.85966
47089,Jefferson,0.595425
47123,Monroe,0.6811984126984126
47129,Morgan,0.8481277777777778
47143,Rhea,0.809703448275862
47147,Robertson,0.74725
47167,Tipton,0.612
47187,Williamson,0.8241936507936509
48007,Aransas,0.170065
48033,Borden,0.11663711340206186
48051,Burleson,0.4024588235294118
48075,Childress,-0.006636111111111112
48135,Ector,0.06325222222222222
48139,Ellis,0.21272395833333335
48141,El Paso,0.060574509803921574
48161,Freestone,0.2062284090909091
48167,Galveston,0.34173200000000004
13171,Lamar,0.7299941176470588
13181,Lincoln,0.45307000000000003
13185,Lowndes,0.5437489361702128
13189,McDuffie,0.3091291666666667
13191,McIntosh,0.5501129032258064
13195,Madison,0.7196296296296296
13213,Murray,0.646954054054054
13217,Newton,0.59718
13221,Oglethorpe,0.5943021276595745
13237,Putnam,0.5614468750000001
13245,Richmond,0.45276875
13261,Sumter,0.576150980392157
13269,Taylor,0.539791891891892
13271,Telfair,0.5934095238095238
13289,Twiggs,0.5596540540540541
13303,Washington,0.557155223880597
13305,Wayne,0.5873626865671643
13309,Wheeler,0.5057483870967742
13315,Wilcox,0.6194742857142858
15001,Hawaii,0.20282464985994397
15003,Honolulu,0.20698076923076922
15007,Kauai,0.12471153846153847
16007,Bear Lake,0.06744867256637169
16069,Nez Perce,0.21925576923076923
16073,Owyhee,0.0545359410430839
16079,Shoshone,0.03679294478527608
16083,Twin Falls,0.07637318181818183
17031,Cook,0.03592571428571428
51017,Bath,0.4613561403508772
51023,Botetourt,0.6187406779661017
51027,Buchanan,0.7135961538461538
51041,Chesterfield,0.7793634146341464
51047,Culpeper,0.686471794871795
51063,Floyd,0.7503725
51073,Gloucester,0.6866260869565217
51093,Isle of Wight,0.5489916666666667
51097,King and Queen,0.69816
51103,Lancaster,0.6808750000000001
51107,Loudoun,0.3711543859649123
51121,Montgomery,0.6992552631578948
51153,Prince William,0.6193864864864865
51161,Roanoke,0.7291518518518519
51171,Shenandoah,0.4876754385964912
51685,Manassas Park,
53005,Benton,0.39632171717171716
53011,Clark,0.005494594594594594
53015,Cowlitz,0.0029420289855072467
53017,Douglas,0.13171461187214611
53025,Grant,0.3000072327044025
53027,Grays Harbor,0.062268000000000004
53033,King,0.001829368029739777
53037,Kittitas,0.0482992673992674
53047,Okanogan,0.0440527108433735
53061,Snohomish,0.010251984126984127
53071,Walla Walla,0.43189803921568637
54007,Braxton,0.6985000000000001
54023,Grant,0.6421773584905661
54033,Harrison,0.6001456521739131
54067,Nicholas,0.6880202898550726
54071,Pendleton,0.4813625000000001
54075,Pocahontas,0.338825
54081,Raleigh,0.700378787878788
54095,Tyler,0.5663586206896551
54109,Wyoming,0.693525
55007,Bayfield,0.5672514285714286
55029,Door,0.5523790697674418
55043,Grant,0.32188479999999997
55057,Juneau,0.22419638554216867
56011,Crook,0.00407044776119403
56035,Sublette,0.08743427065026363
60010,Eastern,
60040,Swains Island,
60050,Western,0.1953666666666667
69100,Rota,0.05023333333333333
72023,Cabo Rojo,0.2992166666666667
72031,Carolina,0.06628
72039,Ciales,0.004071428571428572
72065,Hatillo,0.0061666666666666675
72097,Mayagüez,0.1434
72113,Ponce,0.22474545454545455
72135,Toa Alta,0.0023
72141,Utuado,0.027922222222222223
78010,St. Croix,0.45305
78020,St. John,0.2948
05061,Howard,0.02963898305084746
05067,Jackson,0.17170615384615384
05075,Lawrence,0.5812271186440678
05081,Little River,0.08727547169811321
05085,Lonoke,0.3506157894736842
05095,Monroe,0.30483
