"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Baxter County, AR"	"05005"	"2008"	"2008"	85	41519	204.7
	"Benton County, AR"	"05007"	"2008"	"2008"	166	210807	78.7
	"Boone County, AR"	"05009"	"2008"	"2008"	39	36974	105.5
	"Bradley County, AR"	"05011"	"2008"	"2008"	16	11643	Unreliable
	"Carroll County, AR"	"05015"	"2008"	"2008"	42	26822	156.6
	"Chicot County, AR"	"05017"	"2008"	"2008"	12	12050	Unreliable
	"Clark County, AR"	"05019"	"2008"	"2008"	27	23272	116.0
	"Clay County, AR"	"05021"	"2008"	"2008"	19	16209	Unreliable
	"Cleburne County, AR"	"05023"	"2008"	"2008"	44	25623	171.7
	"Cleveland County, AR"	"05025"	"2008"	"2008"	14	8775	Unreliable
	"Columbia County, AR"	"05027"	"2008"	"2008"	27	24666	109.5
	"Conway County, AR"	"05029"	"2008"	"2008"	39	21025	185.5
	"Craighead County, AR"	"05031"	"2008"	"2008"	111	93316	119.0
	"Crawford County, AR"	"05033"	"2008"	"2008"	76	60933	124.7
	"Crittenden County, AR"	"05035"	"2008"	"2008"	50	50699	98.6
	"Cross County, AR"	"05037"	"2008"	"2008"	27	18200	148.4
	"Dallas County, AR"	"05039"	"2008"	"2008"	11	8282	Unreliable
	"Drew County, AR"	"05043"	"2008"	"2008"	14	18481	Unreliable
	"Faulkner County, AR"	"05045"	"2008"	"2008"	103	108477	95.0
	"Franklin County, AR"	"05047"	"2008"	"2008"	28	18229	153.6
	"Fulton County, AR"	"05049"	"2008"	"2008"	21	12382	169.6
	"Garland County, AR"	"05051"	"2008"	"2008"	189	95636	197.6
	"Grant County, AR"	"05053"	"2008"	"2008"	16	17718	Unreliable
	"Greene County, AR"	"05055"	"2008"	"2008"	59	41286	142.9
	"Hempstead County, AR"	"05057"	"2008"	"2008"	24	22624	106.1
	"Hot Spring County, AR"	"05059"	"2008"	"2008"	46	32737	140.5
	"Howard County, AR"	"05061"	"2008"	"2008"	18	13804	Unreliable
	"Independence County, AR"	"05063"	"2008"	"2008"	52	35859	145.0
	"Izard County, AR"	"05065"	"2008"	"2008"	28	13681	204.7
	"Jackson County, AR"	"05067"	"2008"	"2008"	28	17966	155.8
	"Jefferson County, AR"	"05069"	"2008"	"2008"	65	78354	83.0
	"Johnson County, AR"	"05071"	"2008"	"2008"	41	25236	162.5
	"Lafayette County, AR"	"05073"	"2008"	"2008"	13	7806	Unreliable
	"Lawrence County, AR"	"05075"	"2008"	"2008"	22	17460	126.0
	"Lincoln County, AR"	"05079"	"2008"	"2008"	11	14176	Unreliable
	"Little River County, AR"	"05081"	"2008"	"2008"	18	13099	Unreliable
	"Logan County, AR"	"05083"	"2008"	"2008"	36	22699	158.6
	"Lonoke County, AR"	"05085"	"2008"	"2008"	54	66086	81.7
