"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2009"	"2009"	44	54135	81.3
	"Baldwin County, AL"	"01003"	"2009"	"2009"	160	179406	89.2
	"Barbour County, AL"	"01005"	"2009"	"2009"	14	27657	Unreliable
	"Bibb County, AL"	"01007"	"2009"	"2009"	23	22941	100.3
	"Blount County, AL"	"01009"	"2009"	"2009"	69	57341	120.3
	"Butler County, AL"	"01013"	"2009"	"2009"	26	20867	124.6
	"Calhoun County, AL"	"01015"	"2009"	"2009"	163	118363	137.7
	"Chambers County, AL"	"01017"	"2009"	"2009"	47	34384	136.7
	"Cherokee County, AL"	"01019"	"2009"	"2009"	66	25854	255.3
	"Chilton County, AL"	"01021"	"2009"	"2009"	60	43484	138.0
	"Choctaw County, AL"	"01023"	"2009"	"2009"	17	13976	Unreliable
	"Clarke County, AL"	"01025"	"2009"	"2009"	31	26038	119.1
	"Clay County, AL"	"01027"	"2009"	"2009"	23	14006	164.2
	"Cleburne County, AL"	"01029"	"2009"	"2009"	19	14918	Unreliable
	"Coffee County, AL"	"01031"	"2009"	"2009"	52	49440	105.2
	"Colbert County, AL"	"01033"	"2009"	"2009"	89	54426	163.5
	"Conecuh County, AL"	"01035"	"2009"	"2009"	16	13274	Unreliable
	"Coosa County, AL"	"01037"	"2009"	"2009"	12	11410	Unreliable
	"Covington County, AL"	"01039"	"2009"	"2009"	55	37648	146.1
	"Crenshaw County, AL"	"01041"	"2009"	"2009"	24	14024	171.1
	"Cullman County, AL"	"01043"	"2009"	"2009"	104	80351	129.4
	"Dale County, AL"	"01045"	"2009"	"2009"	51	49854	102.3
	"Dallas County, AL"	"01047"	"2009"	"2009"	41	43759	93.7
	"DeKalb County, AL"	"01049"	"2009"	"2009"	90	70864	127.0
	"Elmore County, AL"	"01051"	"2009"	"2009"	62	78632	78.8
	"Escambia County, AL"	"01053"	"2009"	"2009"	31	38249	81.0
	"Etowah County, AL"	"01055"	"2009"	"2009"	166	104239	159.2
	"Fayette County, AL"	"01057"	"2009"	"2009"	33	17310	190.6
	"Franklin County, AL"	"01059"	"2009"	"2009"	36	31589	114.0
	"Geneva County, AL"	"01061"	"2009"	"2009"	31	26653	116.3
	"Greene County, AL"	"01063"	"2009"	"2009"	10	9182	Unreliable
	"Hale County, AL"	"01065"	"2009"	"2009"	25	16025	156.0
	"Henry County, AL"	"01067"	"2009"	"2009"	21	17243	121.8
	"Houston County, AL"	"01069"	"2009"	"2009"	82	100500	81.6
	"Jackson County, AL"	"01071"	"2009"	"2009"	77	53461	144.0
	"Jefferson County, AL"	"01073"	"2009"	"2009"	576	658441	87.5
	"Lamar County, AL"	"01075"	"2009"	"2009"	21	14689	143.0
	"Lauderdale County, AL"	"01077"	"2009"	"2009"	122	92526	131.9
	"Lawrence County, AL"	"01079"	"2009"	"2009"	45	34315	131.1
	"Lee County, AL"	"01081"	"2009"	"2009"	71	138566	51.2
	"Limestone County, AL"	"01083"	"2009"	"2009"	53	81326	65.2
	"Macon County, AL"	"01087"	"2009"	"2009"	21	21190	99.1
	"Madison County, AL"	"01089"	"2009"	"2009"	267	330856	80.7
	"Marengo County, AL"	"01091"	"2009"	"2009"	21	21170	99.2
	"Marion County, AL"	"01093"	"2009"	"2009"	44	30646	143.6
	"Marshall County, AL"	"01095"	"2009"	"2009"	134	92213	145.3
	"Mobile County, AL"	"01097"	"2009"	"2009"	349	411994	84.7
	"Monroe County, AL"	"01099"	"2009"	"2009"	21	23218	90.4
	"Montgomery County, AL"	"01101"	"2009"	"2009"	167	227607	73.4
	"Morgan County, AL"	"01103"	"2009"	"2009"	90	118954	75.7
	"Pickens County, AL"	"01107"	"2009"	"2009"	18	19814	Unreliable
	"Pike County, AL"	"01109"	"2009"	"2009"	27	32560	82.9
	"Randolph County, AL"	"01111"	"2009"	"2009"	28	22864	122.5
	"Russell County, AL"	"01113"	"2009"	"2009"	55	52162	105.4
	"St. Clair County, AL"	"01115"	"2009"	"2009"	85	83009	102.4
	"Shelby County, AL"	"01117"	"2009"	"2009"	110	192708	57.1
	"Sumter County, AL"	"01119"	"2009"	"2009"	14	13746	Unreliable
	"Talladega County, AL"	"01121"	"2009"	"2009"	104	82674	125.8
	"Tallapoosa County, AL"	"01123"	"2009"	"2009"	51	41831	121.9
	"Tuscaloosa County, AL"	"01125"	"2009"	"2009"	168	192792	87.1
	"Walker County, AL"	"01127"	"2009"	"2009"	97	67347	144.0
	"Washington County, AL"	"01129"	"2009"	"2009"	13	17493	Unreliable
	"Wilcox County, AL"	"01131"	"2009"	"2009"	10	11870	Unreliable
	"Winston County, AL"	"01133"	"2009"	"2009"	41	24691	166.1
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	110	287677	38.2
	"Fairbanks North Star Borough, AK"	"02090"	"2009"	"2009"	48	95238	50.4
	"Juneau Borough, AK"	"02110"	"2009"	"2009"	14	30857	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	"2009"	"2009"	32	54796	58.4
	"Matanuska-Susitna Borough, AK"	"02170"	"2009"	"2009"	29	86885	33.4
	"Apache County, AZ"	"04001"	"2009"	"2009"	68	71008	95.8
	"Cochise County, AZ"	"04003"	"2009"	"2009"	106	130081	81.5
	"Coconino County, AZ"	"04005"	"2009"	"2009"	74	133477	55.4
	"Gila County, AZ"	"04007"	"2009"	"2009"	103	53561	192.3
